Metric,Value
Total Day-Ahead Planned Energy (kWh),24719291.25
Total Adjusted Purchase Energy (kWh),24282953.59
Total Emergency Purchased Energy (kWh),47213.6
Q2 Optimized Baseline Cost (Yuan),16085410.43
Baseline Purchase Cost (Yuan),18832047.46
Adjustment Surcharge/Breach Cost (Yuan),189028.99
Emergency Penalty Cost (Yuan),248777.28
Total Settlement Cost Q3 (Yuan),15867644.03
Cost Reduction vs Heuristic Baseline (Yuan),2964403.43
Cost Reduction vs Heuristic Baseline (%),15.74
Cost Reduction vs Q2 Optimized (Yuan),217766.4
Monotonicity C_Q1 <= C_Q3 < C_Q2 < C_Baseline,PASS
